Def,State,Word
bareheaded,adj,ေခါင္းေဆာင္းမပါေသာ
bareness,n,ဗလာျဖစ္ျခင္း။တံုးလံုး။
barely,adv,မွ်သာ။ ႐ုံမွ်သာ။  …႐ုံရွိေသး။မရွိသေလာက္။
bargain,n,(ႏွစ္ဦးႏွစ္ဖက္) အေပးအယူ။ ေလွ်ာ့ေဈး။
bargain,v,ေဈးဆစ္သည္။ ညႇိသည္။
bargain  away,phrv,ေရာင္းစားသည္။
bargain basement,n,ဆိုင္ႀကီးကနားႀကီးတြင္ ပစၥည္းကို ေလွ်ာ့ေဈးျဖင့္ ေရာင္းထုတ္ရာေျမေအာက္ခန္း။
bargain for,phrv,ထင္ထားသည္၊ ေမွ်ာ္မွန္းထားသည္။
bargain  on,phrv,ထင္ထားသည္၊ ေမွ်ာ္မွန္းထားသည္။ထည့္သြင္းစဥ္းစားသည္။
bargain-hunting,n,ပစၥည္းေဈးေပါရာလိုက္ရွာျခင္း။
into the bargain,idm,သည့္အျပင္။ ထို႔ျပင္လည္းပဲ။ ၿပီးေတာ့။
in the bargain,idm,သည့္အျပင္။ ထို႔ျပင္လည္းပဲ။ ၿပီးေတာ့။
bargaining,n,ေဈးဆစ္ျခင္း။ ညႇိျခင္း။
bargaining counter,n,(ညႇိႏႈိင္းရာတြင္) အားသာခ်က္။
bargaining position,n,ညႇိႏႈိင္းမႈအေနအထား။
bargaining power,n,ေျပာအားဆိုအား။
barge,n,ဝမ္းျပားေရယာဥ္။ ေဖာင္ေတာ္။ သမၺန္ေတာ္။စက္တပ္သမၺန္။
barge,v,တိုးေဝွ႔ဝင္သည္။ တရၾကမ္းတိုးဝင္သည္။ကိုးရိုးကားရားဟိုတိုက္ဒီတိုက္သြားသည္။
barge in,phrv,ဇြတ္တိုးဝင္သည္။ ျဖတ္ဝင္သည္။ ဇြတ္ဝင္သည္။
barge into,phrv,ဇြတ္တိုးဝင္သည္။ ျဖတ္ဝင္သည္။ ဇြတ္ဝင္သည္။
bargee,n,ေလွသူၾကီး။
baritone,n,ဘယ္သံက်က် ေယာက္်ားသံ။ အသံေအာ။ ယင္းအသံမ်ဳိးရွိသည့္ အဆိုေတာ္။ယင္း အဆိုေတာ္အတြက္ ေတးသြား။
barium,n,ေဗရီယမ္ (ဓာတုျဒပ္စင္)။
barium meal,n,ေဗရီယမ္ေဆးရည္။ (အစာလမ္းေၾကာင္း ဓာတ္မွန္႐ိုက္ရာ၌ ေသာက္ရသည္။)
bark,n,သစ္ေခါက္။ သစ္ခြံ။
bark,n,(ေခြး၊ ေျမေခြး) ေဟာင္သံ။ ယင္းအသံမ်ဳိး။  (ေသနတ္သံ) ေဖာက္ခနဲျမည္သံ။ (ေခ်ာင္း) တဟြတ္ဟြတ္ဆိုးသံ။
bark,v,ေဟာင္သည္။  ေခ်ာင္းသံ၊ ေသနတ္သံ ထြက္ေပၚ သည္။ဟိန္းေဟာက္သည္။မာျပတ္ျပတ္ဆိုသည္။အေရျပားမေတာ္တဆစုတ္ျပတ္သြားသည္။
bark is worse than their bite,idm,ပါးစပ္နဲ႔ေျပာတာက ႐ိုက္တာထက္ေတာင္ နာေသးတယ္။
barking mad,adj,သြက္သြက္လည္ေအာင္ ႐ူးေသာ။
bark up the wrong tree,idm,လမ္းမွားသည္။ လမ္းလဲြ လိုက္သည္။
barker,n,ေဈးေခၚ။
barley,n,မုေယာစပါး။ ဘာလီ။ ဘာလီပင္။
barley sugar,n,ဘာလီသၾကားလံုး။သၾကားခဲအမာ။
barley water,n,ဘာလီရည္။
barmaid,n,အရက္ခ်င္တြယ္ေဖ်ာ္စပ္ေရာင္းခ်သူ။
barman,n,အရက္ခ်င္တြယ္ေဖ်ာ္စပ္ေရာင္းခ်သူ။
barn,n,ေကာက္ပဲသီးႏွံသိုေလာင္ရံု။စပါးက်ီ။
barnacle,n,ခရင္းေကာင္။
barometer,n,ေလဖိအားတိုင္းကိရိယာ။
barometric,adj,ေလထုဖိအားႏွင့္ဆိုင္ေသာ။
barometric pressure,n,ေလထုဖိအား။
baron,n,အဂၤလန္ျပည္တြင္ အနိမ့္ဆံုးဘြဲ ့ခံမွဴးမတ္။စီးပြားေရးလုပ္ငန္း တစ္ရပ္ရပ္တြင္အေရးပါျပီးၾသဇာေညာင္းသူ။
baroness,n,အဂၤလန္ျပည္တြင္ အနိမ့္ဆံုးဘြဲ ့ခံအမ်ိဳးသမီး မွဴးမတ္။စီးပြားေရးလုပ္ငန္း တစ္ရပ္ရပ္တြင္အေရးပါျပီးၾသဇာေညာင္းသူ။
baronet,n,ဆာဘြဲ ့ရသူ။
barouche,n,ႏွစ္ေယာက္စီး ခံုတန္းႏွစ္တန္းပါေသာ ေလးဘီးျမင္းရထား။
barrack,v,ေအာ္ဟစ္ကန္ ့ကြက္သည္။
barracks,n,စစ္တန္းလ်ား။
barrage,n,ရန္သူကိုဟန္ ့တားရန္တရပ္စပ္စုျပံဳပစ္ခတ္ျခင္း စသည့္အတားအဆီး။မ်ားျပားလွသည့္ အေရအတြက္။ျမစ္ေၾကာင္းကို ကန္ ့လန္ ့ျဖတ္တည္ထားေသာ ့လူလုပ္အတားအဆီး။ေရကာတာတစ္မ်ိဳး။
a barrage of gunfire,n,တရစပ္စုျပံဳပစ္ခတ္ျခင္း။
barrage balloon,n,ေလေၾကာင္းရန္ကိုဟန္ ့တားရန္ သံၾကိဳးျဖင့္ဆိုင္းထားေသာ မီုးပ်ံပူေဖာင္းၾကီး။
barral,n,စည္။စည္ပိုင္း။ေသနတ္ေျပာင္း။
barral,adj,စည္ထဲတြင္သိုေလွာင္သည္။
barren,adj,မျဖစ္ထြန္းေသာ။ျမံဳေသာ
barren soil,n,က်တ္တီးေျမ။
a barren fruit,n,ဖိုေသာအပင္။
a barren woman,n,ျမံဳေသာမိန္းမ။
barrenness,n,ျမံဳျခင္း။ဖိုျခင္း။
barricade,n,ကတုပ္။လမ္းစသည္ကို ပိတ္ဆို ့ရန္ခ်ထားေသာအတားအဆီး။
barricade,v,ကတုပ္ျပဳလုပ္သည္။(လမ္းကို)ပိတ္ဆို ့ရန္အတားအဆီးခ်ထားသည္။။
barrier,n,အကာအကြယ္အျဖစ္ခ်ထားသည္ ့အရာ။အႏွာက္အယွက္။အဟန္ ့အတား။
barrister,n,၀တ္လံုေတာ္ရေရွ ့ေန။
barrow,n,လက္တြန္းလွည္း။(အမ်ားအားျဖင္ ့ဘီးႏွစ္ဘီးတပ္)လွည္းငယ္။
bartender,n,အရက္ခ်င္တြယ္ေဖ်ာ္စပ္ေရာင္းခ်သူ။
barter,n,ဖလွယ္သည့္ကုန္ပစၥည္း။ကုန္ခ်င္းလဲလွယ္ျခင္း။
barter,v,ကုန္ခ်င္းဖလွယ္သည္။
basalt,n,အေရာင္ရင့္သည့္မီးသင့္ေက်ာက္။မီးေတာင္ေခ်ာ္နက္။
base,n,ေအာက္ေျခ။အေျခ။အေျခခံ။ေအာက္ခံ။ေရာေႏွာပစၥည္းတစ္ခု၏ အဓိက ပါ၀င္သည့္ပစၥည္း။အေျခခံရာ။အရင္းခံရာ။ဌာနခ်ဳပ္။
base,v,အေျချပဳသည္။အေျခခံသည္။
base,adj,ယုတ္ေသာ။အသံုးမက်ေသာ။မရိုးသားေသာ။
an army base,n,အေျခစိုက္တပ္စခန္း။
baseness,n,အသံုးမက်ျခင္း။အသံုးမ၀င္ျခင္း။
baseless,adj,အေျခအျမစ္မရွိေသာ။
basely,adv,ယုတ္ညံစြာ။
baseball,n,ေဘ့စ္ေဘာ။တုတ္ျဖင့္ေဘာလံုးကိုရိုက္ကစားရသည့္ အေမရိကန္ ကစားနည္းတစ္မ်ိဳး။
basement,n,အေဆာက္အဦးတစ္ခု၏ေျမတိုက္ခန္း၊ေျမေအာက္ခန္း။
basement,adj,ေျမေအာက္ထပ္၌ျဖစ္ေေသာ။
bash,v,ရိုက္ႏွက္သည္။ထုႏွက္သည္။
bash ,n,ျပင္းျပင္းထန္ထန္ထိုးႏွက္ခ်က္။ထုရိုက္ခ်က္။ထိမိတိုက္မိ၍ျဖစ္ပၚသည့္ခ်ိဳင့္၊အခြက္။
basd on/ahead,phrv,ျဖစ္လိုရာျဖစ္သေဘာျဖင့္ဇြတ္တိုးလုပ္သည္။
have a bash at,phrv,လက္တည့္စမ္းၾကည္ ့သည္။
bashful,adj,ရွက္ေသာ၊ရွက္တတ္ေသာ။
bashfully,adv,ရွက္ေၾကာက္စြာ။
bashfulness,n,အရွက္အေၾကာက္။
basic,adj,အေျချပဳရေသာ။အေျခခံျဖစ္ေသာ။အေျခခံအဆင့္မွ်သာျဖစ္ေသာ။
basically,adv,အေျခခံအားျဖင့္။အရင္းခံအားျဖင့္။ပင္ကို။
basil,n,ဟင္းခ်က္စားရသည့္ ရနံခ်ိဳေသာ ပူစီနံကဲသို ့ေသာ အပင္မ်ိုး။
basin,n,မ်က္ႏွာ၊လက္စသည္တို ့ေဆးေၾကာရန္ခြက္၊အင္တံု၊ဇလံု။ျမစ္၀ွမ္း။ေရနက္ပိုင္း။
basis,n,အေျခခံအေၾကာင္းရင္း။အေရးအၾကီးဆံုးအပိုင္း။
bask,v,ေနပူဆာလွံုသည္။
basket,n,ျခင္း။ေတာင္း။ပလံုး။
basketball,n,ဘတ္စကတ္ေဘာ ကစားနည္း။
basketball,adj,ဘတ္စကတ္ေဘာႏွင့္ဆိုင္ေသာ။
basketry,n,ၾကိမ္၊၀ါး စသည္ရက္လုပ္ခ်င္းအတတ္။
basketwork,n,ၾကိမ္၊၀ါး စသည္ရက္လုပ္ထားေသာအရာ။ၾကိမ္ထည္။ဝါးထည္။
basketwork,adj,ၾကိမ္၊ဝါးျဖင္ ့ျပဳလုပ္ေသာ။
bass,n,ဘယ္သံအက်ဆံုးေယာက္်ားသံ။ဘယ္သံအက်ဆံုးေယာက္်ားသံျဖင့္ဆိုႏိုင္သူ။
bass,n,ကကတစ္ငါးမ်ိဳးရင္းမွ ငါးတစ္မ်ိဳး။
bass,adj,အသံနိမ့္ေသာ။
bassinet,n,ကေလးပုခက္။
bassoon,n,ႏွဲၾကီးတစ္မ်ိဳး။
bastard,n,တရား၀င္လက္ထပ္မထားေသာမိဘမွေမြးထားေသာ ကေလး။မိမစစ္ဖမစစ္။
baste,v,ရိုက္သည္။
bastion,n,ခုခံကာကြယ္ေပးထားေသာပုဂၢိဳလ္၊ ေနရာ၊ အရာဝတၱဳ ၊ ခံတပ္။
bastion,n,ခုခံကာကြယ္ေပးထားေသာပုဂၢိဳလ္၊ ေနရာ၊ အရာဝတၱဳ ၊ ခံတပ္။
bat,n,ဘတ္တံ။လင္းႏို ့။လင္းဆြဲ။
bat,v,ဘတ္တံကိုင္ကစားသည္။ဘတ္တံျဖင့္ရိုက္သည္။မ်က္စိပိတ္ခ်ည္ဖြင့္ခ်ည္လုပ္သည္။
off one's own bat,idm,ကိုယ္တိုင္။
off one's own bat,idm,ကိုယ္တိုင္။
batch,n,တစ္သုတ္။တစ္သိုက္။ေပါင္မုန္ ့ကိတ္မုန္ ့။
bath,n,ေရခ်ိဳးျခင္း။ေရခ်ိဳးကန္။
bath,v,ေရခ်ိဳးသည္။ေရခ်ိဳးေပးသည္။
bath chair,n,လူနာေရခ်ိဳးလွည္း။
bathe,v,ေရတြင္ႏွစ္သည္။စိုစြတ္ေစသည္။ေရတြင္စိမ္သည္။ေရသြားကူးသည္။
bathe,n,ေရကူးျခင္း။
bathing,n,ေရခ်ိဳးသြားျခင္း။
bathos,n,စိတ္တတ္ၾကြေနစဥ္ေျပာသည့္ရယ္စရာ၊စိတ္ဓာတ္က်စရာ စကား။
bathroom,n,ေရခ်ိဳးခန္း။အိမ္သာ။ေရအိမ္။
bathtub,n,ေရခ်ိဳးကန္။
bathysphere,n,ေရေအာက္ရွိ သုေတသန ေရလံုခန္း။
bathysphere,n,ေရေအာက္ရွိ သုေတသန ေရလံုခန္း။
batik,n,ပါတိတ္စ။ပါတိတ္ေဆးဆိုးနည္း။
batiste,n,ခ်ည္စ။
batman,n,တပ္မေတာ္အရာရွိ၏ကိုယ္ေ၇းအမွူထမ္း။
baton,n,တီးဝိုင္းေခါင္းေဆာင္ကိုင္ အခ်က္ျပတုတ္တံ။ စစ္ရာထူး အဆင့္လိုက္ အေဆာင္အေယာင္ တုတ္တို။ လက္ဆင့္ကမ္းေျပးပြဲတြင္ ကိုင္ေျပးေသာ တုတ္တို။ (စစ္တီးဝိုင္း) က်ဳိင္းတုတ္။
baton round,n,(လူအုပ္ခဲြရာ၌သုံးေသာ) ပလတ္စတစ္၊ ေရာ္ဘာက်ည္ဖူး။
bats,adj,ရူးသြပ္ေသာ။
batsman,n,ခရစ္ကတ္ကစားရာတြင္ေဘာလံုးကိုရိုက္ရန္အလွည့္က်သူ။
batty,adj,ရူးေနေသာ။ေပါေနေသာ။
battalion,n,တပ္ရင္း။
batten,n,ဇလီ။ သေဘၤာ မာလကာေပါက္ အဖံုးပိတ္ သည့္ ကန္႔လန္႔က်င္။
batten,v,ဇလီသတ္သည္။
batten on,phrv,သူတစ္ပါးလုပ္စာ ထိုင္စားသည္။
batter,v,အဆက္မျပတ္ ထုႏွက္သည္။
batter  down,phrv,႐ိုက္ခ်ဳိးသည္။ ခ်ဳိးဖ်က္သည္။
battered,adj,ခ်ဳံးခ်ဳံးက်ေသာ။ ဖြတ္ဖြတ္ေၾကေသာ။
battering-ram,n,ခံတပ္ၿမိဳ႔တံခါးေဆာင့္ၿဖဳိရာတြင္ သုံးေသာ ဝက္ခြတုံးဆဲြေမာင္းစက္။
batter  to,phrv,စိစိေၾကေအာင္ထုႏွက္သည္။
batter,n,ဂ်ံဳမႈန္႔၊ ၾကက္ဥ၊ ႏို႔ရည္ေရာထားေသာ အႏွစ္။
battery,n,ဘက္ထရီအိုး။ ဓာတ္ခဲ။ အေျမာက္စု။ အေျမာက္တပ္ခဲြ။႐ႈပ္ယွက္ခတ္ေနေသာ မ်ဳိးတူ ပစၥည္းစု။စီစဥ္စုစီးထားေသာအရာ။ ဥစားၾကက္မ်ား ေမြးထားရာ ၾကက္တင္းစု။ ႐ိုက္ႏွက္မႈ။ ႐ိုက္ႏွက္ရန္ ၿခိမ္းေျခာက္မႈ။
battery farm,n,ေလွာင္အိမ္ျဖင့္ ဥစားၾကက္မ်ား ေမြးထားရာၾကက္ျခံ။
battle,n,တိုက္ပြဲ။ စစ္ပဲြ။
battle,v,အေသအလဲ ႀကဳိးစားသည္၊ ရင္ဆိုင္သည္။
battle-cruiser,n,(ယခင္) အျမန္စားစစ္သေဘၤာႀကီး။
battle-cry,n,(ေရွး) စစ္ျငာသံ။ (ၿပဳိင္ပြဲတြင္) အားေပးဟစ္ေၾကြးသံ။ ေၾကြးေၾကာ္သံ။
do battle with,idm,အႀကိတ္အနယ္ ခ်သည္။ အႀကိတ္အနယ္ျငင္းခံုသည္။
do  battle over,idm,အႀကိတ္အနယ္ ခ်သည္။ အႀကိတ္အနယ္ျငင္းခံုသည္။
half the battle,idm,တိုက္ပဲြတြင္ (ေအာင္ျမင္မႈ) တစ္ဝက္။
battleaxe,n,(ေရွး) တိုက္ပဲြဝင္ပုဆိန္ႀကီး။ စိတ္ပုပ္ေသာမိန္းမႀကီး။
battledress,n,စစ္ဝတ္စံု။
battlefield,n,စစ္ေျမျပင္။ စစ္တလင္း။
battleground,n,စစ္ေျမျပင္။ စစ္တလင္း။
battlements,n,သူရဲခို
battleship,n,တိုက္သေဘၤာ။
batty,adj,စိတ္မႏွံ႔ေသာ။ ႐ူးေပါေပါ။
bauble,n,အေပါစားအဆင္တန္ဆာ။
baulk,v,တုံ႔ဆိုင္းသည္။ တြန္႔ဆုတ္သည္။ကဖ်က္ယဖ်က္ လုပ္သည္။ မရေအာင္ဟန္႔တား ေႏွာင့္ယွက္သည္။
bauxite,n,ေဘာက္ဆိုက္သတၱဳ။ (၄င္းမွ ဒန္သတၱဳ ထုတ္ယူရရွိသည္။)
bawdy,adj,အေျပာင္အျပက္ညစ္ညမ္းေသာ။
bawl,v,ျဖဲေအာ္သည္။ ကုန္းေအာ္သည္။က်ယ္ေလာင္စြာငိုသည္။
bawl  out,phrv,ေအာ္ေငါက္သည္။ ေဟာက္သည္။
bay,n,ပင္လယ္ေအာ္။
bay,n,ကရေဝးပင္။
bay-leaf,n,ကရေဝး႐ြက္
bay,n,ပစၥည္းထားရန္၊ ကားရပ္ရန္ စသည္အတြက္ သီးသန္႔ ေနရာ အကြက္အကန္႔။ အေဆာက္အအံုတြင္ ေကြးေကြးဝိုက္ဝိုက္ စြန္းထြက္ေနေသာအပိုိင္း။
bay window,n,နံရံကိုဝိုက္၍ခ်ိဳး၍ စြန္းထုတ္ထားေသာျပတင္း။ ေဆာင္ထုတ္ျပတင္း။
bay,n,အမဲလိုက္ေခြး၏ ဟိန္းေဟာင္သံ။
bay,v,(အမဲလိုက္ေခြး) ဟိန္းေဟာင္သည္။
at bay,idm,ေခ်ာင္ပိတ္မိ၍ ေၾကာက္ကန္ကန္ ခံခ်ရမည့္ အေျခအေန။
hold at bay,idm,(အႏ ၱရာယ္မျပဳသာ ေအာင္) ဟန္႔တား၊ ထိန္းထားသည္။
keep at bay,idm,(အႏ ၱရာယ္မျပဳသာ ေအာင္) ဟန္႔တား၊ ထိန္းထားသည္။
bay,adj,အုန္းခြံေရာင္။
bayonet,n,လွံစြပ္။
bayonet,v,လွံစြပ္ျဖင့္ထိုးသည္
bayou,n,(အေမရိကန္ေတာင္ပိုင္း) ေဗဒါ၊ က်ဴ စသည္ လႊမ္း၍ ေရအီသည့္ ျမစ္၊ ေခ်ာင္း၊ ကန္ လက္တက္။
bazaar,n,(အေရွ႔တိုင္း) ေဈး။ (ၿဗိတိန္၊ အေမရိကန္ စသည္တြင္) အလွဴရန္ပုံေငြအတြက္ ေဈးပြဲေတာ္။
bazooka,n,ဘဇူကာဒံုးေလာင္ခ်ာ။
BBC,abbr,(ၿဗိတိသွ် ျပည္သူတို႔ထံမွ ႐ုပ္ျမင္သံၾကား လိုင္စင္ အခြန္အခမ်ားျဖင့္ လုပ္ငန္းလည္ပတ္ေသာ) ၿဗိတိသွ် (ေရဒီယို၊ ႐ုပ္သံ) ထုတ္လႊင့္ေရး ေကာ္ပိုေရးရွင္း။
BC,abbr,ခရစ္မတိုင္မီ။ ဘီစီ။
be,v,ရွိသည္။ တည္ရွိသည္။ (အခ်ိန္)ရွိၿပီ။ (၌၊ မွာ၊ တြင္) ရွိသည္။ ရွိေနသည္။ ျဖစ္ ေနသည္။ ။ သြားသည္။ ေရာက္သည္။ လာသည္။ ျဖင့္ျပဳလုပ္သည္။  တန္သည္။ ႏွင့္ညီမွ်သည္။
be,aux v,(passive voice  ကိုေဖာ္ျပရန္ past participle  ႏွင့္တဲြသုံးရသည့္ အကူႀကိယာ)။ ျပဳျခင္း၊ ျဖစ္ျခင္း ခံရသည္။ (ျပဳဆဲ၊ ျဖစ္ဆဲ ၾကိယာသဏၭာန္ႏွင့္ တဲြသုံးရသည့္ အကူႀကိယာ)။ (လိုအပ္ခ်က္၊ ညႊန္ၾကားခ်က္ စသည္ကို ေဖာ္ျပရာ၌သုံးေသာ အကူႀကိယာ) (အစီအစဥ္ေဖာ္ျပရာ၌ သုံးေသာ အကူႀကိယာ)
the be-all and end-all,idm,အဓိကပဲ။ အသက္ပဲ။အဓိကအခ်က္။
been and done,idm,(စိတ္အေႏွာင့္အယွက္ျဖစ္ေၾကာင္း၊ အံ့အားတသင့္ျဖစ္ေၾကာင္းျပ စကား)။ လုပ္ျပန္ၿပီ။ လုပ္ခ်လိုက္ျပန္ၿပီ။
be one self,idm,ကိုယ့္နဂိုအတိုင္း။
be that as it may,idm,ေသာ္လည္း။ ေပမည့္။
leave  be,idm,ေနပါေစ။ လႊတ္ထား လိုက္။
let be,idm,ေနပါေစ။ လႊတ္ထား လိုက္။
to-be,idm,ေလာင္း
be,pref,အႏွံ႔။ အႏွံ႔အျပား။
be,pref, ျပဳသည္။ မူသည္။ သေဘာထားသည္။
beach,n,ပင္လယ္ကမ္းေျခ ေသာင္ယံ။ ေရအိုင္ကမ္းစပ္ ေသာင္ယံ။
beach,v,ေသာင္တင္သည္။ ကုန္းေပၚသို႔တင္သည္။
beach-ball,n,ကမ္းေျခတြင္ကစားရန္ ေရာင္စံုပလတ္စတစ္ ေဘာလံုးႀကီး။
beach buggy,n,ေသာင္ယံတြင္ၿပဳိင္စီးရန္ စက္တပ္ယာဥ္ငယ္။
beachcomber,n,ကမ္းေျခတြင္ေတြ႔ေသာ ပစၥည္း မ်ားကို ေကာက္ေရာင္း၍ အသက္ေမြးသူ။
beachhead,n,ကမ္းေျခသို႔တက္၍ ေျခကုပ္ယူထားေသာ တပ္။
beachwear,n,ကမ္းေျခဝတ္ ေပါ့ေပါ့ပါးပါး အဝတ္အစား။
beacon,n,ေတာင္ထိပ္တြင္ ဖိုထားေသာ အခ်က္ျပမီး။ သေဘၤာ၊ ေလယာဥ္အတြက္ ေက်ာက္ေဆာင္၊ ေတာင္ေပၚ စသည္တို႔၌ထားေသာ အႏ ၱရာယ္အခ်က္ျပမီး။ ေလယာဥ္ ဆင္းလမ္းအခ်က္ျပမီး။ မီးျပတိုက္။ ေရေၾကာင္း၊ ေလေၾကာင္းထိန္းသိမ္းေရး ေရဒီယိုအခ်က္ျပအသံလႊင့္စက္။
bead,n,ပုတီးေစ့။
beads,n,လည္ဆြဲပုတီး။စိပ္ပုတီး။ (ေရ၊ အရည္) အစက္အေပါက္။
beaded,adj,ပုတီးေစ့စီျခယ္ထားေသာ။
beading,n,အနားစြန္း၊ ေဘာင္စြန္းအလွကြပ္ ပစၥည္း။ ဘီတင္ျပား။
beady,adj,ေစ့ေစ့ၾကည့္တတ္ေသာ၊ စူးရွေသာ၊ ေသးငယ္ ဝိုင္းဝန္းေတာက္ပေသာ (မ်က္လံုး)။
beagle,n,အိမ္ေမြး၊ အမဲလိုက္ေခြးပုေလး။
beak,n,ငွက္ႏႈတ္သီး။
beak,n,တရားသူႀကီး။ ေက်ာင္းအုပ္ႀကီး။
beaker,n,ပလတ္စတစ္ (သို႔) စကၠဴခြက္။ (ယင္းႏွင့္) …ခြက္။ (သိပၸံစမ္းသပ္ခန္းသုံး) ႏႈတ္သီးပါဖန္ခြက္။
beam,n,ေရာင္ျခည္တန္း။ လွ်ပ္စစ္လႈိင္းတန္း။ ရက္မ။ ခ်ိန္ခြင္လက္။  ပီတိျပံဳး။
beam,v,ေရာင္ျခည္ျဖာက်သည္။  အားပါးတရ ျပံဳးျပသည္။ (ေရဒီယို၊ ႐ုပ္ျမင္သံၾကား စသည္မွ) ထုတ္လႊင့္သည္။
beamed,adj,ရက္မ ခံထားေသာ။
off beam,idm,မွားေသာ။ လဲြေသာ။
bean,n,ပဲေတာင့္မ်ဳိး။ ပဲေတာင့္ပင္။ ပဲသီးေတာင့္။ ပဲေစ့ကဲ့သို႔ ေသာအေစ့။
bean curd,n,TOFU
bean sprouts,n,ပဲပင္ေပါက္။
not have a bean,idm,ပိုက္ဆံတစ္ျပား တစ္ခ်ပ္မွ်မရွိ။
beanbag,n,ပလတ္စတစ္ေစ့မ်ား ထည့္ထားေသာ ထိုင္စရာ ဖံု။
beanfeast,n,ေပ်ာ္ပြဲ။ ပါတီပြဲ။
beanpole,n,(လူ) ပိန္ရွည္။ အရွည္ႀကီး။
bear,n,ဝက္ဝံ။ က်ေဈးႏွင့္ျပန္ဝယ္ရန္ စေတာ့ရွယ္ယာမ်ားေရာင္းသူ။
bear-hug,n,ရင္ခ်င္းအပ္၍ အားရပါးရဖက္ျခင္း။
bearish,adj,(ေဈး) က်ရိပ္ရွိေသာ။
bear market,n,ထုတ္ေရာင္းသူမ်ား၍ ထိုးက်ေနေသာ ေဈးကြက္။
bear,v,၁။ ေဆာင္သည္။ ပါသည္။ ျပသည္။ ရွိသည္။ ပါရွိသည္။ သယ္ေဆာင္သည္။ အေလးခ်ိန္ကိုခံႏိုင္သည္။ တာဝန္ယူသည္။ ေခါင္းခံသည္။  သည္းခံသည္။  ခံႏိုင္သည္။  ဟန္မပ်က္ေအာင္ထိန္းသည္။ သီးသည္။ ပြင့္သည္။ (ညႊန္းရာဘက္သို႔) လိုက္သည္။
bear arms,idm,စစ္မႈထမ္းသည္။
bear the brunt of,idm,စုျပံဳခံရသည္။ က်ဳံးခံရသည္။ ကုန္း႐ုန္းခံရသည္။
bear down on,phrv,တည့္တည့္ ႀကီး ဝင္လာသည္။  အားကုန္ဖိသည္။
bear fruit,idm,အသီးအပြင့္ခံစားရသည္။ အက်ဳိး ခံစားရသည္။
bear hard,idm,ဖိစီးသည္။
bear heavily,idm,ဖိစီးသည္။
bear severely,idm,ဖိစီးသည္။
bear in mind,idm,မွတ္ထားပါ။ ထည့္ တြက္ပါ။
bear on,phrv,သက္ဆိုင္သည္။ ပတ္သက္သည္။
bear  out,phrv,ေထာက္ခံသည္။
bear up,phrv,ေတာင့္ထားသည္။ ၾကံ့ၾကံ့ခံသည္။ စိတ္ရွည္သည္။ သည္းညည္းခံ သည္။
bear with,phrv,သည္းခံသည္။
bear witness,phrv,သက္ေသခံသည္။ သက္ေသ ျဖစ္သည္။
be borne in on,idm,သေဘာေပါက္လာသည္။ နားလည္လာသည္။ သိရွိလာသည္။
bring  to bear,idm,က်ေရာက္ ေစသည္။
bearable,adj,သည္းခံႏိုင္ေသာ။ ခံရပ္ႏိုင္ေသာ။
beard,n,မုတ္ဆိတ္။ တိရစ ၦာန္ မုတ္ဆိတ္။
bearded,adj,မုတ္ဆိတ္ရွိေသာ။
beard,v,ေျဗာင္စိန္ေခၚသည္။ အတိုက္အခံေျပာသည္။
beard the lion in his den,idm,တကယ့္ႀကီးႀကီး မားမားပုဂၢိဳလ္ထံဝင္၍ စိန္ေခၚသည္၊ မ်က္ႏွာခ်ဳိေသြးသည္ စသည္။
bearer,n,(စာ၊ သတင္း) သယ္ေဆာင္သူ။ အထမ္းသမား။ ဘဏ္၌ ခ်က္ရွင္ကိုယ္စားေငြထုတ္သူ။
bearing,n,ဟန္ပန္အမူအရာ။
bearings,n,တည္ေနရာ။ရပ္ညႊန္း။
beard,n,မုတ္ဆိတ္ေမြး။ေျပာင္းဖူးေမြး။
bearded,n,မုတ္ဆိတ္ႏွင့္လူ။
beast,n,ေတာေကာင္ၾကီး။ေျခေလးခ်ာင္းသတၱ၀ါ။ရက္စက္ၾကမ္းၾကဳတ္ေသာသူ။
beastly,adv,ဆိုး၀ါးယုတ္မာစြာ။
beastliness,n,ဆိုး၀ါးယုတ္မာမွူ။
beat,v,ထပ္တလဲလဲထုသည္။ရိုက္သည္။အႏိုင္ရသည္။ေမႊသည္။ေခါက္သည္။စည္းခ်က္မွန္မွန္ျဖင့္လွ ုပ္ရွားသည္။စည္းခ်က္ေပးသည္။
beat,n,စည္းခ်က္။စည္းဝါး။ပံုမွန္လမ္းေၾကာင္း။သြားေနၾကလမ္းေၾကာင္း။
beaten,adj,ေျခကုန္လက္ပန္းက်ေသာ။ရွံဳးနိမ့္သြားေသာ။ေကာင္းစြာေမႊထားေသာ။
beat about the bush,idm,ေဝ့လည္ေၾကာင္ပတ္လုပ္သည္။
beat dowm,phrv,ျပင္းသည္။(ေန)ျခစ္ျခစ္ေတာက္ပူသည္။ေစ်းဆစ္ျပီးအတင္းေစ်းေလွ်ာ့ခိုင္းသည္။
beat off ,phrv,တိုက္ထုတ္သည္။
beat up,phrv,ျပင္းျပင္ထန္ထန္ ရိုက္ႏွက္ထိုးၾကိတ္သည္။
beauty,n,လွပျခင္း။သာယာျခင္း။တင့္တယ္ျခင္း။မိန္းမလွ။အထူးလွေသာသူ/အရာ။
beautiful,adj,လွပေသာ။
