ID|abbr|IDENTIFICATION; IDENTITY။ ထုတ္ျခင္း။ ကုိယ္စားျပဳျခင္း။ ပါဝင္ပတ္သက္ျခင္း။ သက္ေသခံကတ္ျပား။||
idiomatically|adv|ဓေလ့သုံး ဆန္စြာ၊ ျဖစ္စြာ။ကာလေဒသအလုိက္ မူဟန္ ျဖစ္စြာ။||
idiosyncrasy|n|ပုဂၢဳိလ္တစ္ဦးခ်င္းအလုိက္ ထူးျခားမႈ။||
idiosyncratic|adj|ပုဂၢဳိလ္တစ္ဦးခ်င္းအလုိက္ ထူးျခားေသာ။||
idiot|n|မုိက္မဲသူ။ အ႐ူးအႏွမ္း။ လူအ။ လူန။ လူ႔အႏၶ။ အ႐ူး။||
idle|adj|လႈပ္ရွား မတက္ၾကြေသာ။ အသုံးမက် ေသာ။ အားေနေသာ။ အလုပ္မရိွေသာ။ အခ်ည္းႏွီး ျဖစ္ေသာ။ အခ်ိန္ျဖဳန္းေသာ။ ေခ်ာင္ခုိေသာ။ ပ်င္းရိေသာ။ အခ်ည္းႏွီးျဖစ္ေသာ။ အလဟႆျဖစ္ေသာ။ တန္ဖုိး မရိွေသာ။ အေျခအျမစ္မရိွေသာ။||
idle|v|၁။ အလဟႆေနသည္။ အခ်ိန္ျဖဳန္းသည္။ ေလသည္။ အလုပ္ကုိေရွာင္သည္။ (အင္ဂ်င္) ႏႈိး၍အလြတ္လည္ေစသည္။||
idle away|phrv|အခ်ိန္ျဖဳန္းသည္။||
idleness|n|အလုပ္လက္မဲ့ျဖစ္ျခင္း။||
idler|n|လူပ်င္း။||
idly|adv|ရည္ရြယ္ခ်က္မရိွ။ အေၾကာင္းမဲ့သက္သက္။ အလဟႆ။||
idol|n|အသည္းေၾကာ္။ အသည္းစြဲ။ ဆင္းတု။ ႐ုပ္တု။||
idolater|n|႐ုပ္တု ကုိးကြယ္သူ။ ႐ုပ္တု ကုိးကြယ္ေသာ။ ျမတ္ႏုိးတနာ ရိွေသာ။ ကုိးကြယ္ေသာ။||
idolatry|n|႐ုပ္တုကုိးကြယ္မႈ။ ကုိးကြယ္ျခင္း။ ရိွခုိးျခင္း။||
idolize|v|ပုဂၢဳိလ္ေရးကုိးကြယ္သည္။ ျမတ္ႏုိးကုိးကြယ္သည္။ ျမတ္ႏုိးတနာရိွသည္။||
idolise|v|ပုဂၢဳိလ္ေရးကုိးကြယ္သည္။ ျမတ္ႏုိးကုိးကြယ္သည္။ ျမတ္ႏုိးတနာရိွသည္။||
idyll|n|ခ်မ္းေျမ့ဖြယ္ ေက်းလက္ျမင္ကြင္း (သုိ႔) ေတာလား။||
idyllic|adj|ခ်မ္းေျမ႔ဖြယ္ ေက်းလက္ ေတာရြာႏွင့္ သက္ဆုိင္ ေသာ။||
idyllically|adv|ဆုိလုိသည္မွာ။ တစ္နည္းဆုိေသာ္။||
