float on air|idm|ေပ်ာ္မဆံုးေမာ္မဆံုး။||
flutter|v|၁။ (က)  (ေတာင္ပံ)ခတ္သည္။ တဖ်ပ္ဖ်ပ္ပ်ံသည္။ (ခ) (ေတာင္ပံ) ခတ္သည္။ (ရင္) တလွပ္လွပ္ ခုန္သည္။ (အသံ) နိမ့္ခ်ည္ျမင့္ခ်ည္ တုန္ခါျခင္း။||
fluvial|adj|ျမစ္ႏွင့္ ပါလာေသာ။||
flux|n|၁။ အဆက္မျပတ္ ေျပာင္းလဲေနျခင္း။ အသား မက်ေသးေသာ အေျခအေန။ စီးဆင္းျခင္း။||
fly|v|၁။ ပ်ံသန္းသည္။ ၂။ (က) ပ်ံသန္းသည္။ (ခ) ေလယာဥ္ခရီးသြားသည္။ ေလယာဥ္စီးသည္။ ၃။ (က) ေလယာဥ္ေမာင္းသည္။ ေလယာဥ္ကို ပ်ံသန္းသည္။||
fly|n|၁။ ယင္ေကာင္။ ၂။ ယင္ေကာင္။ ယင္ေကာင္ပံု ငါးစာ။||
flyer|n|၁။ (က) ေလယာဥ္မွဴး။ (ခ) ေလယာဥ္ခရီးသည္။ ၂။ (စြန္၊ ေလယာဥ္ပံုစံ ငယ္) လႊတ္သူ။||
flying|adj|ပ်ံသန္းေသာ။||
flyleaf|n|ေရခံစာရြက္ အလြတ္။||
flyover|n|၁။ မိုးပ်ံလမ္း။||
flysheet|n|ရြက္ဖ်င္တဲဝ ဖ်င္စအဖံုး။||
flyweight|n|၁။ ေလးဆယ့္ရွစ္ႏွင့္ ငါးဆယ့္တစ္ ကီလို ဂရမ္ အၾကား ကိုယ္အေလးခ်ိန္ အေပါ့ဆံုးတန္း လက္ေဝွ႔သမား။ ၂။ ေလးဆယ့္ရွစ္ႏွင့္ ငါးဆယ့္ႏွစ္ကီလိုဂရမ္အၾကား ကိုယ္ အေလးခ်ိန္ရိွ နပန္းသမား။||
flywheel|n|ဟန္ဘီး။||
fly a kite|v|ျပည္သူလူထု က မည္သို႔တုန္႔ျပန္သည္ကို စကား အိပ္ အျမြန္ေျပား၍ ျဖစ္ေစ၊ ေကာလဟာလလႊင္႔ ၍ျဖစ္ေစ စူးစမ္းသည္။||
fling| sling| etc mud (at sb)|idm|သားပုပ္ေလလြင့္ေျပာသည္။||
